"IncidentDate","OccurredFromTime","IncidentNum","Offense","NIBRS","NIBRSCategory","SRS_UCR","CrimeAgainst","FelMisdCit","IncidentTopSRS_UCR","IncidentLocation","IntersectionOtherLoc","District","Neighborhood","NbhdNum","Latitude","Longitude","IncidentSupplemented","LastSuppDate","VictimNum","FirearmUsed","IncidentNature"
"1/13/2021 12:00:00 AM","18:00:00","21001878    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","","01","3520 NATURAL BRIDGE AVE","","4","JeffVanderLou","59","38.660631","-90.216271","Yes","3/27/2024 12:05:34 PM","387422","Yes","Homicide - Criminal"
"1/24/2021 12:00:00 AM","19:55:00","21003550    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","","01","4034 LACLEDE AVE","","5","Central West End","38","38.637354","-90.24594","Yes","3/1/2024 12:05:56 AM","379431","Yes","Homicide - Criminal"
"1/24/2021 12:00:00 AM","19:55:00","21003550    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","","01","4034 LACLEDE AVE","","5","Central West End","38","38.637354","-90.24594","Yes","3/1/2024 12:05:56 AM","379432","Yes","Homicide - Criminal"
"1/24/2021 12:00:00 AM","23:56:00","21003572    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","","01","908 CARR ST","","4","Columbus Square","62","38.635507","-90.1912","Yes","3/11/2024 12:05:05 PM","382395","Yes","Homicide - Criminal"
"2/4/2021 12:00:00 AM","17:55:00","21005248    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","","04","3919 HARTFORD ST","","2","Tower Grove South","15","38.602878","-90.250476","Yes","3/5/2024 5:37:52 PM","380637","Yes","Aggravated Assault - Shooting - Criminal"
"2/4/2021 12:00:00 AM","17:55:00","21005248    ","DELIVERY OF 35 GRAMS OR LESS OF MARIJUANA OR SYNTHETIC CANNABINOID","35A","Drug/Narcotic Violations","","Society","","04","3919 HARTFORD ST","","2","Tower Grove South","15","38.602878","-90.250476","Yes","3/5/2024 5:37:52 PM","","No","Aggravated Assault - Shooting - Criminal"
"2/5/2021 12:00:00 AM","17:52:00","21005401    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","","01","3321 LEOLA AVE","","2","Lindenwood Park","9","38.602347","-90.302098","Yes","3/26/2024 6:05:05 PM","387171","Yes","Homicide - Criminal"
"2/8/2021 12:00:00 AM","21:00:00","21005815    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","","04","1505 N. 17TH ST.","","4","St Louis Place","60","38.642575","-90.199871","Yes","3/5/2024 5:41:32 PM","380640","Yes","Aggravated Assault - Shooting - Criminal"
"2/8/2021 12:00:00 AM","21:00:00","21005815    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","","04","1505 N. 17TH ST.","","4","St Louis Place","60","38.642575","-90.199871","Yes","3/5/2024 5:41:32 PM","380641","Yes","Aggravated Assault - Shooting - Criminal"
"2/8/2021 12:00:00 AM","21:00:00","21005815    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","","04","1505 N. 17TH ST.","","4","St Louis Place","60","38.642575","-90.199871","Yes","3/5/2024 5:41:32 PM","","No","Aggravated Assault - Shooting - Criminal"
